глагол,частота
uveriti,102
ispostaviti,102
otkupiti,102
uvrstiti,102
venčati,102
oprostiti,101
opstati,101
snabdevati,101
utvrđivati,100
nametati,100
proslavljati,100
sumnjati,100
sakriti,100
pustiti,100
slomiti,100
izvući,100
premestiti,99
svoditi,99
obnova,99
redukovati,99
trošiti,98
pogledati,98
predvideti,98
izjašnjavati,98
režirati,98
zapasti,98
dopustiti,98
izboriti,98
dogovoriti,98
ugrožavati,98
kreirati,97
dopuštati,97
skrenuti,97
dugovati,97
upoznavati,97
bojati,97
dejstvovati,97
unaprediti,96
ispitati,96
izdržavati,96
negovati,95
izbacivati,95
potražiti,95
zimeti,95
nabaviti,95
razoriti,94
opljačkati,94
simbolizovati,94
zadobiti,94
trpeti,94
prekidati,93
kružiti,93
ovladati,93
piti,93
dočeći,93
plasirati,93
tj.,92
izmisliti,92
proizilaziti,92
zaključivati,92
vežati,92
plašiti,92
optuživati,92
pridruživati,92
apsorbovati,92
zadovoljiti,91
koncentrisati,91
kovasti,91
registrovati,90
odraziti,90
osuđivati,90
zapaziti,90
umrasti,90
oceniti,90
dovršiti,90
rečiti,90
orasti,90
eliminisati,90
poveriti,90
saopštiti,90
zapošljavati,89
analizirati,89
ceniti,89
korist,89
blokirati,89
intervenisati,89
opsedati,89
predsedavati,89
kaći,89
osporavati,88
spasati,88
popustiti,88
potrajati,88
uklanjati,88
izdejstvovati,88
prevazići,87
transformisati,87
smeštati,87
obećavati,87
uočavati,87
prodreti,87
vezati,87
pristići,87
nestajati,87
osnoviti,87
nadgledati,87
angažovati,87
obilovati,87
zaraditi,86
izgoreti,86
padnuti,86
umanjiti,86
izmiriti,86
produžiti,86
uložiti,86
debitovati,86
oterati,86
usporiti,85
pronalaziti,85
dražiti,85
ugroziti,85
uspjeti,85
poručiti,85
pusti,85
proširivati,84
pucati,84
krunisati,84
naređivati,84
pridržavati,83
pristajati,83
rezultirati,83
prebacivati,83
pomiriti,83
prekrivati,83
prepoznavati,82
uspiti,82
izvoziti,82
vrediti,82
pošati,81
pati,81
sastavljati,81
isterati,81
isplatiti,81
opkoliti,81
potući,81
sintetisati,81
zaostajati,80
inspirisati,80
spomenuti,80
manifestovati,80
olakšavati,79
svesti,79
sadržavati,79
pripisati,79
puštati,79
oživeti,79
iskazati,79
raspustiti,79
pripojiti,79
dospevati,79
odavati,78
demonstrirati,78
umeti,78
proizlaziti,78
doseći,78
podučavati,78
zavesti,78
temeljiti,78
prevoziti,78
odobravati,78
probovati,78
onemogućiti,78
negirati,77
probuditi,77
sklapati,77
opredeliti,77
opustošiti,77
pomeriti,76
usloviti,76
komunicirati,76
aktivirati,76
odvoditi,76
bolovati,76
prodirati,76
smiriti,76
raslati,75
poništiti,75
zadati,75
istražiti,75
propadati,75
probijati,75
preovladavati,75
