base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
pustiti,raspustiti,ras,202,142
suditi,osuditi,o,310,355
kidati,ukidati,u,20,82
rušiti,srušiti,s,146,469
tražiti,zatražiti,za,2707,662
kupiti,prikupiti,pri,871,331
kidati,prekidati,pre,20,220
računati,proračunati,pro,593,26
stupiti,ustupiti,u,1114,245
provoditi,sprovoditi,s,906,801
hvatati,prihvatati,pri,118,591
pustiti,propustiti,pro,202,399
slivati,poslivati,po,102,55
dužiti,produžiti,pro,25,343
sveti,osveti,o,25,116
stati,ustati,u,529,185
misliti,zamisliti,za,1207,190
lagati,zalagati,za,19,700
pojiti,spojiti,s,27,285
svojiti,usvojiti,u,7,689
bratiti,obratiti,o,7,413
moliti,zamoliti,za,407,160
ceniti,oceniti,o,100,196
lečiti,izlečiti,iz,343,104
skočiti,uskočiti,u,175,21
raditi,preraditi,pre,11858,49
hvaliti,pohvaliti,po,73,162
teći,zateći,za,936,379
stajati,prestajati,pre,1522,382
javiti,izjaviti,iz,979,1344
titi,pretiti,pre,11,376
seći,doseći,do,101,90
pustiti,prepustiti,pre,202,253
baviti,zabaviti,za,4804,32
bojati,obojati,o,167,127
pasti,upasti,u,1284,667
učiti,naučiti,na,808,516
čati,pričati,pri,31,489
zliti,pozliti,po,12,9
gledati,ugledati,u,780,148
plakati,zaplakati,za,72,14
biti,razbiti,raz,1578206,368
ostati,preostati,pre,5756,19
bijati,izbijati,iz,7,219
terati,rasterati,ras,93,33
rastajati,urastajati,u,13,6
pijati,upijati,u,7,39
seliti,naseliti,na,431,526
tvoriti,rastvoriti,ras,32,43
padati,opadati,o,571,580
štedeti,poštedeti,po,20,31
lagati,ulagati,u,19,99
kopati,dokopati,do,22,41
čekati,dočekati,do,555,205
raditi,zaraditi,za,11858,289
pojiti,pripojiti,pri,27,74
bijati,probijati,pro,7,109
viditi,sviditi,s,69,11
klanjati,uklanjati,u,32,255
pustiti,dopustiti,do,202,139
izvesti,proizvesti,pro,1241,716
trujati,strujati,s,5,234
desiti,podesiti,po,1247,93
meriti,pomeriti,po,480,149
dati,udati,u,6071,382
gušiti,ugušiti,u,46,261
vesti,privesti,pri,86,67
stavljati,dostavljati,do,681,68
umirati,sumirati,s,681,43
stupati,zastupati,za,185,395
vesti,zavesti,za,86,155
poroditi,preporoditi,pre,41,6
hvaliti,zahvaliti,za,73,70
leći,poleći,po,18,9
voditi,svoditi,s,6553,195
jačati,ojačati,o,137,353
ovladavati,preovladavati,pre,7,103
živiti,doživiti,do,19,49
ložiti,izložiti,iz,21,170
svlačiti,presvlačiti,pre,5,6
grejati,zagrejati,za,27,67
ovladati,preovladati,pre,220,49
miti,umiti,u,12,11
kititi,okititi,o,9,48
snivati,osnivati,o,5,597
seliti,doseliti,do,431,430
svađati,posvađati,po,92,49
setiti,posetiti,po,47,598
pustiti,spustiti,s,202,197
premati,spremati,s,39,332
pisati,pripisati,pri,3178,107
obići,zaobići,za,193,75
sjetiti,osjetiti,o,5,13
dijeliti,podijeliti,po,58,55
javiti,prijaviti,pri,979,580
gasti,ugasti,u,36,29
družiti,udružiti,u,121,169
puštati,upuštati,u,155,76
gurati,izgurati,iz,57,11
voditi,povoditi,po,6553,7
variti,prevariti,pre,10,119
uočiti,suočiti,s,357,253
živeti,proživeti,pro,85923,42
stupati,postupati,po,185,97
pustati,napustati,na,6,10
miriti,pomiriti,po,42,165
putovati,proputovati,pro,818,34
gasiti,ugasiti,u,72,127
bići,obići,o,8,193
bilježiti,obilježiti,o,27,28
kriti,pokriti,po,359,77
premati,pripremati,pri,39,362
vezivati,povezivati,po,50,1144
rasti,porasti,po,1132,374
ložiti,složiti,s,21,288
imenovati,preimenovati,pre,812,58
paliti,spaliti,s,291,212
sjetiti,posjetiti,po,5,48
rastati,zarastati,za,211,11
računati,uračunati,u,593,24
tvoriti,pretvoriti,pre,32,620
slaviti,proslaviti,pro,655,360
pljačkati,opljačkati,o,136,284
sediti,posediti,po,106,5
trčati,otrčati,o,213,7
ceniti,proceniti,pro,100,223
seti,preseti,pre,26,120
očiti,uočiti,u,25,357
pišiti,napišiti,na,33,5
skočiti,preskočiti,pre,175,230
ostati,zaostati,za,5756,99
uzimati,preuzimati,pre,1125,650
staviti,dostaviti,do,777,142
reći,izreći,iz,2425,255
vršiti,navršiti,na,3237,36
lagati,polagati,po,19,309
pisati,raspisati,ras,3178,112
brisati,obrisati,o,96,48
pustiti,opustiti,o,202,16
uzeti,izuzeti,iz,615,37
rješavati,razrješavati,raz,49,40
činiti,načiniti,na,7905,244
tući,potući,po,47,150
vesti,razvesti,raz,86,229
svojiti,prisvojiti,pri,7,77
ostajati,zaostajati,za,1752,86
zaditi,pozaditi,po,7,69
vaditi,zavaditi,za,111,24
hapsiti,pohapsiti,po,98,40
pozvati,opozvati,o,854,33
stajati,pristajati,pri,1522,219
tati,rastati,ras,32,211
hvatiti,uhvatiti,u,22,438
voziti,prevoziti,pre,451,168
poznavati,prepoznavati,pre,416,196
titi,otiti,o,11,20
leti,preleti,pre,251,12
goniti,progoniti,pro,102,97
leti,poleti,po,251,48
topiti,potopiti,po,79,137
kraditi,ukraditi,u,44,38
barati,obarati,o,10,75
voditi,zavoditi,za,6553,69
nalaziti,pronalaziti,pro,124893,440
glaviti,zaglaviti,za,15,34
roniti,zaroniti,za,8,11
leteti,poleteti,po,72,595
javiti,najaviti,na,979,463
desiti,zadesiti,za,1247,138
