word,rank,neighbor,score
prikazati,3.0,prikazane,0.8842393159866333
prikazati,4.0,prikazu,0.8832502365112305
prikazati,5.0,prikazala,0.8800544142723083
prikazati,6.0,prikazao,0.8741644620895386
prikazati,7.0,prikazan,0.8662668466567993
prikazati,8.0,prikazom,0.8662270903587341
prikazati,9.0,prikaza,0.8654662370681763
prikazati,10.0,prikaze,0.8620615005493164
uvideti,1.0,videti,0.9257158637046814
uvideti,2.0,predvideti,0.8517034649848938
uvideti,3.0,uvide,0.8221027851104736
uvideti,4.0,vidjeti,0.8145464658737183
uvideti,5.0,izneti,0.810417115688324
uvideti,6.0,podsetiti,0.8090296387672424
uvideti,7.0,uvažiti,0.8072390556335449
uvideti,8.0,uvidevši,0.8041922450065613
uvideti,9.0,posumnjati,0.8022580146789551
uvideti,10.0,predvidjeti,0.8014275431632996
zamisliti,1.0,misliti,0.9311122894287109
zamisliti,2.0,pomisliti,0.9180702567100525
zamisliti,3.0,smisliti,0.9142736196517944
zamisliti,4.0,zamisli,0.9094980955123901
zamisliti,5.0,zamislite,0.8978095054626465
zamisliti,6.0,razmisliti,0.8883441686630249
zamisliti,7.0,zamislimo,0.8866593837738037
zamisliti,8.0,zamislim,0.8822231292724609
zamisliti,9.0,zamislili,0.8660575151443481
zamisliti,10.0,zamislio,0.8573696613311768
razmisliti,1.0,razmisljati,0.9368019104003906
razmisliti,2.0,razmisli,0.9311951994895935
razmisliti,3.0,razmislite,0.921562671661377
razmisliti,4.0,razmislimo,0.9132983684539795
razmisliti,5.0,misliti,0.9115332365036011
razmisliti,6.0,razmislim,0.9103909134864807
razmisliti,7.0,pomisliti,0.9098921418190002
razmisliti,8.0,razmisle,0.9025498628616333
razmisliti,9.0,razmislja,0.8943606615066528
razmisliti,10.0,razmislio,0.8915356397628784
izmisliti,,,
dodati,1.0,pridodati,0.8876619338989258
dodati,2.0,dodatci,0.8740678429603577
dodati,3.0,dodatim,0.8630180954933167
dodati,4.0,dodatu,0.860164999961853
dodati,5.0,dodaću,0.8598510026931763
dodati,6.0,dodavati,0.8586285710334778
dodati,7.0,dodat,0.8562050461769104
dodati,8.0,dodatih,0.8540009260177612
dodati,9.0,dodato,0.8452035188674927
dodati,10.0,hodati,0.837368369102478
predati,1.0,predat,0.8685111999511719
predati,2.0,predaha,0.856033444404602
predati,3.0,predah,0.8500210642814636
predati,4.0,preda,0.8388045430183411
predati,5.0,predao,0.8307732939720154
predati,6.0,predaj,0.8278130888938904
predati,7.0,predali,0.8263769745826721
predati,8.0,predata,0.8256061673164368
predati,9.0,predaji,0.8230105638504028
predati,10.0,predate,0.8188538551330566
udati,1.0,bežati,0.8599798083305359
udati,2.0,hodati,0.8588629961013794
udati,3.0,trpati,0.8293061852455139
udati,4.0,udarati,0.8215714693069458
udati,5.0,dati,0.8170391321182251
udati,6.0,padati,0.8154686093330383
udati,7.0,savladati,0.8135398030281067
udati,8.0,trčati,0.8126574158668518
udati,9.0,uhvati,0.8123688697814941
udati,10.0,opadati,0.8118597865104675
prodati,1.0,prodat,0.9060376882553101
prodati,2.0,prodatih,0.9036750793457031
prodati,3.0,prodavati,0.8999410271644592
prodati,4.0,prodato,0.8978914022445679
prodati,5.0,prodate,0.8831124305725098
prodati,6.0,prodali,0.8764527440071106
prodati,7.0,prodavcu,0.876172661781311
prodati,8.0,prodata,0.8737307786941528
prodati,9.0,prodao,0.8736045360565186
prodati,10.0,prodavci,0.8694000840187073
izdati,1.0,izdavati,0.8966233730316162
izdati,2.0,izdatim,0.8806097507476807
