глагол,частота
umešati,55
osveti,55
prezivati,55
proslavljati,55
ulagati,55
ubrzavati,55
ušiti,55
slivati,55
propuštati,55
veleti,55
nadovezivati,54
razbijati,54
izdejstvovati,54
pojesti,54
hvaliti,54
raskidati,54
upiti,54
zapisovati,54
oslikavati,54
odavati,54
dodjeljivati,54
raspisati,54
dijeti,54
zadati,54
premeštati,54
oko,54
popustiti,53
zadovoljati,53
raslati,53
pokupiti,53
bližati,53
paziti,53
oboleti,53
jačati,53
duvati,53
doseći,53
inicirati,53
obarati,53
sušiti,53
vavljati,53
pridobiti,52
nasleđivati,52
padnuti,52
napad,52
ispuštati,52
oticati,52
saopštavati,52
proteći,52
napajati,52
zainteresovati,52
zagrevati,52
imitirati,52
obožavati,52
napustati,52
razmotriti,51
vučiti,51
siti,51
obavezivati,51
krstiti,51
predvideti,51
negirati,51
obraditi,51
otežavati,51
postupati,51
trgovati,51
pripisati,51
opravdati,51
bligati,51
obustaviti,51
udaljavati,51
opustošiti,51
smiriti,51
ispaliti,51
usporiti,51
darivati,50
dovršiti,50
usvajati,50
trčati,50
dodirovati,50
crtati,50
takmiti,50
aviti,50
potrošiti,50
terati,50
vrteti,50
mijenjati,50
uvati,50
preporučiti,49
nadmašiti,49
ukrašavati,49
iskopati,49
poseći,49
posveti,49
razmenjivati,49
skidati,49
sići,49
-{,49
intervenisati,49
osuđivati,49
mrzeti,49
cvetati,49
lomiti,49
protestovati,49
goniti,49
demonstrirati,48
izabeti,48
usprotiviti,48
isterati,48
hodati,48
zapažati,48
upozoriti,48
zati,48
umeti,48
ocenjivati,48
plažiti,48
odstupati,48
probati,48
konstatovati,48
eksploatisati,48
preživljavati,48
primjenjivati,48
ponići,48
oštećivati,48
promašiti,48
odgovor,47
pljačkati,47
vežati,47
popuniti,47
interesovati,47
ispoljiti,47
seći,47
sačekati,47
uklapati,47
sastavljati,47
pristizati,47
potrajati,47
usporavati,47
specijalizovati,47
izlučivati,47
izumeti,46
zvučiti,46
proizlaziti,46
spremiti,46
izlečiti,46
nagraditi,46
očistiti,46
svideti,46
obučavati,46
zaštita,46
izgovoriti,46
tragati,46
preferirati,46
prodiriti,46
deklarisati,46
ukrštati,46
zavesti,46
presecati,46
zalaziti,46
regrutovati,45
razbolesti,45
orbiti,45
odupreti,45
udruživati,45
usmrtiti,45
reklamirati,45
afirmisati,45
rekonstruisati,45
naložiti,45
sužavati,45
slikati,45
lučiti,45
komentarisati,45
zarobljavati,45
progoniti,45
srasti,45
eskortovati,45
eksperimentisati,44
zaslužiti,44
useliti,44
kositi,44
odazvati,44
spomenuti,44
obogatiti,44
osporavati,44
nastradati,44
popunjavati,44
uslijediti,44
pokriti,43
nabavljati,43
vrediti,43
dražiti,43
došati,43
otpustiti,43
sresti,43
pogoršavati,43
startovati,43
sanjati,43
odustajati,43
gađati,43
konzumirati,43
testirati,43
preovladavati,43
odraditi,43
ispraviti,43
prinositi,43
interpretirati,43
osvetiti,43
migrirati,43
hlorofiti,43
zapleniti,43
uklopiti,42
rotirati,42
poprimiti,42
zasluživati,42
prilagođavati,42
dočekivati,42
uvećavati,42
sleteti,42
preoteti,42
širok,42
ublažiti,42
proveravati,42
ispostavljati,42
konkurisati,42
doznati,42
udavati,42
doti,42
pariti,42
ganglion,42
zaostati,41
pozdravljati,41
odseći,41
kopirati,41
rasliti,41
oglasiti,41
prisećati,41
=ati,41
pripojiti,41
izučiti,41
topiti,41
sviđati,41
udaljiti,41
propadati,41
magistrati,41
ceniti,40
pridavati,40
poslivati,40
prekršiti,40
prodaja,40
hvati,40
leteti,40
uvlačiti,40
oduzimati,40
snositi,40
adaptirati,40
uplašiti,40
hapsiti,40
vežbati,40
prokomentarisati,40
izostati,40
dodirnuti,40
uviđati,40
izreći,40
poslatati,40
pošliti,40
stimulisati,40
gnezditi,40
ugostiti,39
ukrasiti,39
upražnjavati,39
prerastiti,39
upad,39
ispitivati,39
pristupati,39
pristup,39
demantovati,39
sazidati,39
ugrađivati,39
uzdići,38
podešavati,38
doživiti,38
poslušati,38
susresti,38
spoznavati,38
nalagati,38
sretiti,38
vjerovati,38
izvestiti,38
oblačiti,38
