base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
gledati,progledati,pro,405,5
rasti,zarasti,za,654,21
razumiti,urazumiti,u,4,1
psati,upsati,u,4,18
dužiti,produžiti,pro,7,122
kidati,ukidati,u,10,43
posliti,zaposliti,za,1,212
tati,rastati,ras,8,65
hvatiti,shvatiti,s,10,385
ložiti,izložiti,iz,8,70
lagati,razlagati,raz,8,20
lažiti,razlažiti,raz,15,27
temeljiti,utemeljiti,u,52,26
svojiti,usvojiti,u,1,261
provoditi,sprovoditi,s,354,380
gledati,pregledati,pre,405,61
značiti,označiti,o,1692,271
voditi,svoditi,s,2580,117
mestiti,premestiti,pre,1,70
jeći,prijeći,pri,1,4
dijeti,odijeti,o,21,1
buditi,probuditi,pro,21,101
šaliti,pošaliti,po,29,1
vati,razvati,raz,3,2
čiti,dočiti,do,159,1
čupati,počupati,po,7,2
goniti,razgoniti,raz,54,1
poznavati,prepoznavati,pre,199,73
šasti,našasti,na,21,8
besneti,pobesneti,po,9,6
staviti,dostaviti,do,386,75
pričati,popričati,po,218,2
letiti,uletiti,u,56,6
ticati,zaticati,za,335,36
tešiti,utešiti,u,8,7
raniti,vraniti,v,42,3
dvesti,odvesti,o,2,214
dati,udati,u,2374,108
kvariti,pokvariti,po,15,30
javljivati,prijavljivati,pri,1,56
bazirati,obazirati,o,95,13
zoviti,pozoviti,po,5,63
variti,prevariti,pre,8,43
premati,spremati,s,22,164
trpiti,pretrpiti,pre,3,8
tonuti,potonuti,po,5,40
čuvati,očuvati,o,764,111
gutati,progutati,pro,9,28
učiti,naučiti,na,438,288
lagati,ulagati,u,8,64
kupiti,skupiti,s,455,92
kopiti,skopiti,s,3,3
udarati,sudarati,s,41,12
visiti,povisiti,po,3,37
dvodnjavati,odvodnjavati,o,1,42
voditi,razvoditi,raz,2580,22
umeti,izumeti,iz,49,34
trujati,strujati,s,1,48
dobiti,zadobiti,za,4970,64
voditi,uvoditi,u,2580,251
leteti,poleteti,po,41,100
leteti,preleteti,pre,41,15
živeti,doživeti,do,4209,501
pasati,spasati,s,6,66
prinositi,doprinositi,do,31,323
vesti,povesti,po,28,329
pati,pripati,pri,96,1
kupirati,okupirati,o,2,118
stupiti,postupiti,po,392,22
sumnjati,posumnjati,po,45,22
vući,izvući,iz,35,102
pasti,spasti,s,549,131
slavljati,proslavljati,pro,1,127
boti,uboti,u,3,1
uzmeti,izuzmeti,iz,96,3
nositi,raznositi,raz,2013,28
ložiti,preložiti,pre,8,4
gomiti,nagomiti,na,1,2
rasti,narasti,na,654,74
izvesti,proizvesti,pro,533,331
naglašavati,prenaglašavati,pre,140,1
beći,izbeći,iz,2,361
stupati,zastupati,za,92,148
boći,poboći,po,9,1
saglasiti,usaglasiti,u,7,9
seliti,doseliti,do,231,105
raziti,izraziti,iz,1,327
težati,otežati,o,1,24
slatati,poslatati,po,1,34
slaviti,proslaviti,pro,191,123
gledati,pogledati,po,405,138
boleti,razboleti,raz,1,16
dizati,izdizati,iz,25,52
stvariti,ustvariti,u,1,50
teći,poteći,po,366,91
rušiti,narušiti,na,63,41
kazati,ukazati,u,1150,206
misliti,zamisliti,za,498,122
izašati,proizašati,pro,332,10
pasti,propasti,pro,549,96
kretati,skretati,s,989,60
dariti,podariti,po,2,47
sveti,posveti,po,3,53
sipati,prosipati,pro,12,7
trošiti,potrošiti,po,74,55
računati,proračunati,pro,243,16
kloniti,ukloniti,u,9,197
dograditi,nadograditi,na,5,16
viđati,sviđati,s,68,33
rađati,vrađati,v,115,1
dešavati,podešavati,po,431,38
kucati,ukucati,u,28,12
pravdati,opravdati,o,10,59
padnuti,propadnuti,pro,71,5
dobijati,zadobijati,za,1746,5
podeliti,raspodeliti,ras,482,2
krenuti,skrenuti,s,769,90
stignuti,postignuti,po,83,158
leteti,sleteti,s,41,41
kupiti,pokupiti,po,455,48
rastati,izrastati,iz,65,38
staniti,nastaniti,na,1,111
krasti,ukrasti,u,20,23
hvaliti,pohvaliti,po,55,80
activati,proactivati,pro,2,1
mariti,primariti,pri,11,1
račiti,izračiti,iz,3,2
stignuti,dostignuti,do,83,160
misati,pomisati,po,1,5
meriti,pomeriti,po,266,78
štedeti,uštedeti,u,5,11
dasti,udasti,u,1,314
učiti,izučiti,iz,438,38
graditi,dograditi,do,432,5
uzimati,preuzimati,pre,571,287
vijati,zavijati,za,2,5
dati,podati,po,2374,8
krivati,prekrivati,pre,7,70
jačati,pojačati,po,41,104
klanjati,poklanjati,po,7,61
dograđivati,nadograđivati,na,7,9
smisliti,osmisliti,o,38,148
držati,podržati,po,979,376
vesti,zavesti,za,28,40
letiti,sletiti,s,56,22
čitati,pročitati,pro,207,140
ložiti,složiti,s,8,90
