base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
stanoviti,ustanoviti,u,16,248
čarati,dočarati,do,1,16
goditi,ugoditi,u,3,12
primiti,poprimiti,po,767,64
misliti,smisliti,s,703,30
nositi,unositi,u,1701,161
svojiti,usvojiti,u,1,338
krstiti,ukrstiti,u,75,12
davati,prodavati,pro,1282,114
kazivati,dokazivati,do,38,151
ticati,sticati,s,390,206
matrati,razmatrati,raz,1,156
graničiti,ograničiti,o,488,127
voditi,svoditi,s,2795,99
udelovati,sudelovati,s,2,67
izilaziti,proizilaziti,pro,1,92
kovati,skovati,s,7,43
živjeti,zaživjeti,za,154,6
poznati,spoznati,s,39,62
brojiti,ubrojiti,u,15,4
pomenuti,spomenuti,s,194,80
družiti,pridružiti,pri,47,577
znati,poznati,po,1577,39
kupiti,prikupiti,pri,373,124
izlaziti,proizlaziti,pro,685,78
vladati,prevladati,pre,1228,32
graničiti,razgraničiti,raz,488,7
aviti,praviti,pr,51,512
goditi,dogoditi,do,3,530
pravljati,raspravljati,ras,1,132
polagati,raspolagati,ras,198,259
kloniti,pokloniti,po,14,218
ružiti,oružiti,o,17,1
uditi,suditi,s,10,142
bližiti,pobližiti,po,17,5
besneti,razbesneti,raz,21,26
uti,vuti,v,1,13
pijati,opijati,o,3,2
laviti,slaviti,s,10,451
koriti,pokoriti,po,4,190
čistiti,pročistiti,pro,18,7
goniti,progoniti,pro,73,62
eseti,veseti,v,1,41
ponašati,oponašati,o,121,14
živjeti,doživjeti,do,154,29
dlikovati,odlikovati,o,1,425
primati,poprimati,po,434,33
vući,privući,pri,54,216
niti,doniti,do,7,35
pomenuti,napomenuti,na,194,144
vesti,prevesti,pre,39,256
živeti,oživeti,o,16789,79
bazirati,obazirati,o,137,5
metati,smetati,s,1,72
jednačiti,izjednačiti,iz,1,59
dati,nadati,na,2670,202
seći,doseći,do,44,78
brojiti,nabrojiti,na,15,2
krenuti,okrenuti,o,1251,293
puštati,prepuštati,pre,79,33
dodati,pridodati,pri,335,23
točiti,pretočiti,pre,9,18
davati,pridavati,pri,1282,59
tvoriti,zatvoriti,za,21,224
meći,omeći,o,5,1
krivati,prekrivati,pre,5,83
vaditi,izvaditi,iz,46,42
čistiti,očistiti,o,18,69
nositi,nanositi,na,1701,107
kidati,skidati,s,15,30
gledati,izgledati,iz,428,342
bivati,dobivati,do,462,57
uzimati,preuzimati,pre,586,261
minirati,dominirati,do,15,542
vediti,izvediti,iz,1,1
seliti,naseliti,na,191,399
puniti,dopuniti,do,16,29
ići,prići,pr,1260,123
mašiti,premašiti,pre,1,41
znati,priznati,pri,1577,752
stupati,nastupati,na,109,402
gađati,događati,do,26,122
titi,pretiti,pre,3,197
poznavati,spoznavati,s,277,62
paziti,zapaziti,za,46,90
video,uvideo,u,417,2
ušiti,sušiti,s,56,39
seći,preseći,pre,44,73
provoditi,sprovoditi,s,283,330
vršiti,površiti,po,1297,28
otkrivati,razotkrivati,raz,229,17
metiti,ometiti,o,2,9
kretati,pokretati,po,1201,202
metnuti,nametnuti,na,2,155
baciti,prebaciti,pre,247,196
kloniti,ukloniti,u,14,213
teći,oteći,o,312,14
sećati,osećati,o,25,383
boriti,oboriti,o,891,165
ženiti,oženiti,o,57,557
pitati,raspitati,ras,103,6
bratiti,obratiti,o,6,268
ložiti,položiti,po,13,180
davati,izdavati,iz,1282,279
počneti,započneti,za,2,65
lepiti,prilepiti,pri,1,5
vlačiti,izvlačiti,iz,1,59
dati,udati,u,2670,153
goditi,pogoditi,po,3,241
služiti,zaslužiti,za,1476,48
praštati,opraštati,o,6,31
vezati,povezati,po,87,135
beležiti,obeležiti,o,257,247
skratiti,uskratiti,u,32,23
sreti,presreti,pre,68,25
tražiti,potražiti,po,1342,95
naći,snaći,s,1845,36
teći,poteći,po,312,132
metati,nametati,na,1,100
posviti,naposviti,na,27,1
poriti,sporiti,s,1,20
učiti,naučiti,na,511,293
hvatiti,pohvatiti,po,7,39
puniti,izpuniti,iz,16,1
kazati,ukazati,u,1223,139
lagati,prelagati,pre,4,1
svojiti,osvojiti,o,1,1904
tupiti,stupiti,s,2,536
vući,povući,po,54,1038
seliti,doseliti,do,191,199
sloviti,osloviti,o,9,5
uzeti,zauzeti,za,288,1322
kupirati,okupirati,o,9,267
vesti,zavesti,za,39,78
pustiti,raspustiti,ras,100,79
terati,proterati,pro,51,184
manjiti,smanjiti,s,1,405
nositi,iznositi,iz,1701,13836
pravljati,upravljati,u,1,756
stupati,pristupati,pri,109,39
rastajati,izrastajati,iz,2,7
roditi,uroditi,u,494,45
gasiti,zagasiti,za,27,2
blijediti,izblijediti,iz,1,1
premati,pripremati,pri,15,190
bilježiti,zabilježiti,za,10,25
sušiti,osušiti,o,39,32
čati,pričati,pri,25,258
puštati,spuštati,s,79,170
čuvati,očuvati,o,707,162
dizati,izdizati,iz,27,117
stizati,dostizati,do,292,233
ticati,proticati,pro,390,289
biti,probiti,pro,530772,213
dijeliti,podijeliti,po,18,37
raziti,poraziti,po,1,339
mjeriti,pomjeriti,po,7,7
vladati,ovladati,o,1228,93
jačati,ojačati,o,64,245
pojiti,pripojiti,pri,7,79
pasti,opasti,o,682,163
spiti,uspiti,u,1,82
zabaviti,pozabaviti,po,15,19
oriti,razoriti,raz,3,94
remetiti,poremetiti,po,10,26
slijediti,uslijediti,u,27,38
ustaviti,zaustaviti,za,3,448
pasti,napasti,na,682,879
biti,izbiti,iz,530772,500
rušiti,srušiti,s,60,204
rasti,porasti,po,421,236
dati,predati,pre,2670,950
pojiti,spojiti,s,7,117
glasiti,naglasiti,na,261,143
tvoriti,otvoriti,o,21,574
dobriti,odobriti,o,2,222
digrati,odigrati,o,1,572
sjetiti,posjetiti,po,2,25
seti,doseti,do,8,5
uniti,suniti,s,4,30
temeljiti,utemeljiti,u,78,46
priniti,dopriniti,do,2,11
graditi,nagraditi,na,647,61
voziti,izvoziti,iz,117,82
glasati,izglasati,iz,160,62
dubiti,produbiti,pro,2,28
kupiti,okupiti,o,373,234
posti,uposti,u,5,9
poloviti,prepoloviti,pre,3,16
pominjati,spominjati,s,1056,557
viriti,izviriti,iz,5,126
padati,propadati,pro,389,75
rastati,izrastati,iz,113,51
staniti,nastaniti,na,2,172
obratiti,preobratiti,pre,268,31
stajati,ustajati,u,776,22
biti,razbiti,raz,530772,139
gušiti,ugušiti,u,20,149
slaviti,proslaviti,pro,451,183
urediti,preurediti,pre,108,18
boraviti,zaboraviti,za,450,120
poznuti,prepoznuti,pre,1,24
bijati,probijati,pro,7,75
javiti,najaviti,na,424,140
kočiti,zakočiti,za,22,4
ceniti,oceniti,o,89,90
peliti,popeliti,po,1,8
stavljati,dostavljati,do,327,24
vrediti,povrediti,po,82,40
čekati,dočekati,do,258,141
puzati,dopuzati,do,2,1
svedočiti,posvedočiti,po,350,14
paliti,spaliti,s,127,127
baciti,ubaciti,u,247,49
stignuti,postignuti,po,73,115
dirnuti,dodirnuti,do,3,25
bližiti,približiti,pri,17,190
računati,izračunati,iz,261,119
groziti,ugroziti,u,1,85
suditi,dosuditi,do,142,7
kršati,prekršati,pre,1,2
šati,pošati,po,2,81
pustiti,napustiti,na,100,1197
držati,izdržati,iz,1256,138
živiti,doživiti,do,6,28
činiti,počiniti,po,4597,121
hvaliti,pohvaliti,po,54,32
dijeti,udijeti,u,36,1
kroviti,skroviti,s,1,1
klesti,zaklesti,za,1,39
monašiti,zamonašiti,za,2,118
postaviti,upostaviti,u,1020,6
studirati,prostudirati,pro,393,3
prijateljiti,sprijateljiti,s,1,29
ići,razići,raz,1260,51
dobiti,pridobiti,pri,5368,71
teći,zateći,za,312,142
setiti,posetiti,po,21,370
voliti,privoliti,pri,13,14
krivati,skrivati,s,5,72
žiti,užiti,u,6,8
padati,opadati,o,389,225
umrliti,izumrliti,iz,18,27
ovladavati,preovladavati,pre,5,75
miješati,pomiješati,po,12,3
tabati,utabati,u,1,8
pojati,pripojati,pri,2,20
slijediti,naslijediti,na,27,39
pasti,upasti,u,682,268
gurati,progurati,pro,22,8
bilježiti,obilježiti,o,10,19
morati,primorati,pri,3716,165
pustiti,prepustiti,pre,100,116
uzdati,zauzdati,za,4,4
brisati,izbrisati,iz,15,20
brisati,obrisati,o,15,12
pasti,pripasti,pri,682,308
vladati,zavladati,za,1228,129
bati,obati,o,1,5
voziti,uvoziti,u,117,36
cijeniti,ocijeniti,o,4,3
rastati,narastati,na,113,55
likovati,nalikovati,na,5,26
raditi,preraditi,pre,3657,34
glačati,izglačati,iz,2,1
mamiti,izmamiti,iz,6,4
pevati,spevati,s,329,20
kidati,ukidati,u,15,71
veseliti,naveseliti,na,2,1
žalostiti,nažalostiti,na,2,1
reći,izreći,iz,1401,36
hvatiti,uhvatiti,u,7,166
smejati,nasmejati,na,14,12
buditi,probuditi,pro,30,77
hvatiti,zahvatiti,za,7,165
nići,ponići,po,14,31
manjiti,umanjiti,u,1,86
vrediti,uvrediti,u,82,21
miriti,izmiriti,iz,19,86
puštati,popuštati,po,79,39
svetiti,osvetiti,o,15,47
odenuti,zaodenuti,za,3,2
siliti,prisiliti,pri,1,72
vežati,svežati,s,92,4
baviti,pribaviti,pri,1887,40
ponaći,oponaći,o,18,4
pljačkati,opljačkati,o,74,94
prečiti,sprečiti,s,2,600
pasti,zapasti,za,682,98
trpjeti,pretrpjeti,pre,1,13
stići,pristići,pri,1275,87
rušiti,porušiti,po,60,49
kloniti,skloniti,s,14,131
putovati,proputovati,pro,425,24
miriti,umiriti,u,19,26
paliti,zapaliti,za,127,68
misliti,pomisliti,po,703,66
tarati,starati,s,1,73
kriti,pokriti,po,120,29
vršiti,dovršiti,do,1297,90
umirati,sumirati,s,313,14
pozivati,opozivati,o,393,3
bojiti,obojiti,o,6,5
pretiti,zapretiti,za,197,70
snoviti,osnoviti,o,1,87
gledati,ugledati,u,428,110
dići,podići,po,19,748
kočiti,ukočiti,u,22,5
dizati,podizati,po,27,221
maći,zamaći,za,10,2
lomiti,izlomiti,iz,22,3
hvatiti,dohvatiti,do,7,10
boditi,proboditi,pro,5,2
plašiti,uplašiti,u,92,42
sejati,posejati,po,28,6
seći,poseći,po,44,29
čiti,počiti,po,157,44
sećati,prisećati,pri,25,17
vijati,izvijati,iz,1,6
trčati,potrčati,po,56,7
vikati,povikati,po,22,7
krati,ukrati,u,4,17
pati,dopati,do,81,44
dužiti,produžiti,pro,12,86
seti,naseti,na,8,38
ići,naići,na,1260,246
čuditi,začuditi,za,23,4
nići,iznići,iz,14,15
likovati,dolikovati,do,5,7
bijati,ubijati,u,7,225
kunuti,zakunuti,za,3,2
prostiti,oprostiti,o,1,101
nositi,prinositi,pri,1701,50
desiti,zadesiti,za,493,67
dužiti,izdužiti,iz,12,1
rasti,srasti,s,421,22
grliti,zagrliti,za,7,6
boditi,zaboditi,za,5,3
suditi,usuditi,u,142,34
savetovati,posavetovati,po,136,18
ploviti,doploviti,do,128,14
slabiti,oslabiti,o,57,111
pustiti,dopustiti,do,100,98
imenovati,preimenovati,pre,405,28
pisati,prepisati,pre,1866,16
hvatati,prihvatati,pri,65,326
množiti,umnožiti,u,28,11
vići,navići,na,1,21
trvditi,utrvditi,u,6,1
gađati,pogađati,po,26,70
smrtiti,usmrtiti,u,1,41
padati,napadati,na,389,269
kidati,raskidati,ras,15,33
stupiti,pristupiti,pri,536,245
primiriti,poprimiriti,po,4,1
boriti,izboriti,iz,891,98
moći,smoći,s,17488,2
premati,spremati,s,15,214
voziti,prevoziti,pre,117,78
jačati,pojačati,po,64,115
beziti,pobeziti,po,1,9
gospodariti,zagospodariti,za,30,25
predeti,opredeti,o,3,13
pozvati,opozvati,o,418,22
robiti,zarobiti,za,1,253
gubiti,pogubiti,po,536,113
rasti,orasti,o,421,90
vati,provati,pro,2,5
svojiti,prisvojiti,pri,1,58
zakoniti,ozakoniti,o,14,11
niti,priniti,pri,7,2
uočavati,suočavati,s,87,75
