base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
suditi,osuditi,o,67,62
paziti,opaziti,o,35,9
stupati,postupati,po,96,30
raviti,naraviti,na,1,5
stvariti,ustvariti,u,2,34
puštati,dopuštati,do,72,49
trujati,strujati,s,3,46
pustiti,dopustiti,do,85,42
trpeti,otrpeti,o,45,1
terati,rasterati,ras,40,11
rasti,dorasti,do,513,3
kolebati,pokolebati,po,5,10
vojevati,izvojevati,iz,6,25
redeti,vredeti,v,1,8
staviti,dostaviti,do,308,48
sipati,osipati,o,9,4
pljačkati,opljačkati,o,33,55
pomenuti,spomenuti,s,127,46
biti,obiti,o,887637,13
davati,odavati,o,976,49
variti,prevariti,pre,7,35
voditi,zavoditi,za,2274,24
trčati,dotrčati,do,79,1
sjeti,osjeti,o,1,2
dreti,prodreti,pro,1,41
tkivati,otkivati,o,7,3
liti,uliti,u,6,10
lomiti,slomiti,s,20,52
doleti,odoleti,o,4,6
koreniti,ukoreniti,u,1,1
pasti,opasti,o,648,75
otići,preotići,pre,1142,1
kleknuti,pokleknuti,po,1,3
stremiti,ustremiti,u,6,2
trovati,otrovati,o,2,19
kriti,prekriti,pre,137,6
vraćati,povraćati,po,759,7
poznati,raspoznati,ras,27,8
stupati,ustupati,u,96,16
hraniti,prehraniti,pre,180,15
sijati,zasijati,za,6,7
ložiti,uložiti,u,5,69
skratiti,uskratiti,u,26,12
desiti,razdesiti,raz,468,2
mešati,pomešati,po,133,32
kidati,skidati,s,5,44
brzeti,prebrzeti,pre,7,2
temeljiti,utemeljiti,u,33,16
obratiti,preobratiti,pre,163,14
jasti,pojasti,po,2,3
davati,zadavati,za,976,11
lati,polati,po,3,1
baviti,izbaviti,iz,2030,21
slikati,oslikati,o,33,14
vezivati,dovezivati,do,23,1
premati,spremati,s,13,143
brojati,izbrojati,iz,407,1
vući,navući,na,16,8
nuti,prnuti,pr,18,1
remeti,poremeti,po,20,6
glaviti,zaglaviti,za,9,7
kameniti,okameniti,o,4,3
djetiti,odjetiti,o,1,11
rezati,urezati,u,3,6
rušiti,razrušiti,raz,38,5
svetiti,osvetiti,o,7,27
voditi,privoditi,pri,2274,9
poniti,preponiti,pre,16,4
sretati,presretati,pre,319,3
ginuti,izginuti,iz,7,20
rušiti,narušiti,na,38,21
stupati,pristupati,pri,96,40
mrznuti,zamrznuti,za,2,4
težiti,rastežiti,ras,240,2
vesti,svesti,s,34,59
viti,zaviti,za,8,1
dizati,izdizati,iz,14,17
stiti,prestiti,pre,4,2
gađati,ugađati,u,30,2
šivati,ušivati,u,1,8
